section,rank,entity_key,entity_name,metric,previous_period,previous_value,current_period,current_value,change,change_pct,status,definition
overall,,,商家样本,GMV,2025-04,426265.64,2025-05,363033.66,-63231.98,-0.1483,FACT,订单原始数据进货金额按行求和
overall,,,商家样本,Orders,2025-04,2285,2025-05,2340,55,0.0241,FACT,订单总进货金额大于0的唯一订单ID数
overall,,,商家样本,AOV,2025-04,186.5495,2025-05,155.1426,-31.4069,-0.1684,FACT,GMV除以正金额Orders
overall,,,商家样本,Active Customers,2025-04,2141,2025-05,2181,40,0.0187,FACT,存在正进货金额的唯一药店编码数
overall,,,商家样本,Active Products,2025-04,268,2025-05,266,-2,-0.0075,FACT,存在正进货金额的唯一商品ID数
customer_loss,1,0000622769,湖北万康大药房有限公司,GMV change,2025-04,5029.20,2025-05,0.00,-5029.20,-1.0000,lost,按药店编码汇总进货金额
customer_loss,2,0000614531,合肥国仁堂大药房有限公司,GMV change,2025-04,2888.00,2025-05,168.17,-2719.83,-0.9418,continuing,按药店编码汇总进货金额
customer_loss,3,0000611205,长春市天翼大药房连锁有限公司高新分公司,GMV change,2025-04,2600.00,2025-05,0.00,-2600.00,-1.0000,lost,按药店编码汇总进货金额
customer_loss,4,0000638204,唐河县佳民大药房有限公司,GMV change,2025-04,2259.60,2025-05,0.00,-2259.60,-1.0000,lost,按药店编码汇总进货金额
customer_loss,5,0000638563,河南省独一医药有限公司郑东新区龙泽东路店,GMV change,2025-04,1666.52,2025-05,0.00,-1666.52,-1.0000,lost,按药店编码汇总进货金额
product_loss,1,2361484,1盒包邮汤臣倍健 健力多 氨糖软骨素钙片102g(1.02g*100片),GMV change,2025-04,49797.25,2025-05,387.00,-49410.25,-0.9922,continuing,按商品ID汇总进货金额
product_loss,2,2361487,1盒包邮汤臣倍健 健力多 氨糖软骨素钙片183.6g(1.02g*180片),GMV change,2025-04,53951.52,2025-05,10445.00,-43506.52,-0.8064,continuing,按商品ID汇总进货金额
product_loss,3,2923175,2盒包邮汤臣倍健 维生素C片(甜橙味)156g(780mg*100片*2瓶),GMV change,2025-04,19145.00,2025-05,327.32,-18817.68,-0.9829,continuing,按商品ID汇总进货金额
product_loss,4,2749085,1罐包邮汤臣倍健 蛋白粉450g,GMV change,2025-04,19605.94,2025-05,5527.63,-14078.31,-0.7181,continuing,按商品ID汇总进货金额
product_loss,5,3289729,2盒包邮汤臣倍健 健视佳 越橘叶黄素酯β-胡萝卜素软胶囊22.5g(0.5g*45粒),GMV change,2025-04,14064.65,2025-05,3134.12,-10930.53,-0.7772,continuing,按商品ID汇总进货金额
