month,merchant_key,merchant_name,owner,merchant_scale,priority_level,current_gmv,previous_gmv,gmv_change_abs,gmv_loss,gmv_mom,gmv_rank_current,gmv_rank_change,previous_gmv_share,diagnostic_dimensions,data_quality_status,metric_quality_status,merchant_mapping_status,aftersales_rate,attention_reasons
2025-05,ID:11125,药悦网,负责人 B,MID,WATCHLIST,38264.38,57493.95,-19229.57,19229.57,-0.3344624956191042,54.0,6.0,0.0042331179820242,Service,NO_ALERT,MISSING,ID_MATCHED,0.0652920962199312,Service: 售后率6.5%，环比变化32.4%
2025-05,ID:1140,都尔东康,负责人 B,MID,PRIORITY,14085.48,15196.01,-1110.5300000000009,1110.5300000000009,-0.0730803678070757,65.0,2.0,0.0011188395159146,Trend|Service,NO_ALERT,MISSING,NAME_MATCHED,0.0526315789473684,Trend: GMV环比-7.3%，连续下降3个月；Service: 售后率5.3%，环比变化584.2%
2025-05,ID:1142,普宁普慈,负责人 B,KEY,WATCHLIST,257435.33,265300.85,-7865.519999999989,7865.519999999989,-0.0296475491880255,18.0,-2.0,0.0195333560971425,Scale / Impact,NO_ALERT,MISSING,NAME_MATCHED,0.0357370772176132,Scale / Impact: GMV损失7865.52，上月区域占比2.0%
2025-05,ID:11628,子钦医疗,,LONG_TAIL,WATCHLIST,175.0,745.0,-570.0,570.0,-0.7651006711409396,77.0,0.0,5.485225656974404e-05,Trend,NO_ALERT,MISSING,NAME_MATCHED,0.0,Trend: GMV环比-76.5%
2025-05,ID:11854,诺和堂,负责人 B,KEY,ATTENTION,1090839.81,785458.35,305381.4600000001,0.0,0.3887939570570484,1.0,0.0,0.0578310911933527,Scale / Impact|Service,NO_ALERT,MISSING,NAME_MATCHED,0.0542986425339366,Scale / Impact: GMV损失0.00，上月区域占比5.8%；Service: 售后率5.4%，环比变化4.1%
2025-05,ID:11860,一玖堂,负责人 B,MID,NO_PRIORITY,47826.58,45895.64,1930.9400000000023,0.0,0.0420724060063222,50.0,-3.0,0.0033791670076679,,NO_ALERT,MISSING,NAME_MATCHED,0.0323624595469255,
2025-05,ID:11905,贰美医疗,负责人 B,MID,NO_PRIORITY,50398.08,58483.9,-8085.82,8085.82,-0.1382571955700628,48.0,1.0,0.0043060052187909,,NO_ALERT,MISSING,NAME_MATCHED,0.0161377084454007,
2025-05,ID:11908,药精采,负责人 B,MID,WATCHLIST,50637.37,64299.98,-13662.61,13662.61,-0.2124823366974608,47.0,1.0,0.0047342268461602,Service,NO_ALERT,MISSING,NAME_MATCHED,0.0632054176072234,Service: 售后率6.3%，环比变化4.3%
2025-05,ID:11984,四川北尘,负责人 B,MID,PRIORITY,30319.78,125657.71,-95337.93,95337.93,-0.7587113436970959,58.0,27.0,0.009251824092465,Trend|Scale / Impact|Relative Position,NO_ALERT,MISSING,NAME_MATCHED,0.0344827586206896,Trend: GMV环比-75.9%；Scale / Impact: GMV损失95337.93，上月区域占比0.9%；Relative Position: 排名变化27，同月分位42.4%
2025-05,ID:12380,纽瑞特,负责人 B,MID,WATCHLIST,15662.47,36262.18,-20599.71,20599.71,-0.56807698820093,63.0,7.0,0.0026698824176352,Trend,NO_ALERT,MISSING,ID_MATCHED,0.0277777777777777,Trend: GMV环比-56.8%
2025-05,ID:12382,四川奥慈,负责人 B,MID,NO_PRIORITY,76095.48,68317.3,7778.179999999993,0.0,0.1138537383649529,36.0,-5.0,0.0050300108291975,,NO_ALERT,MISSING,NAME_MATCHED,0.037111334002006,
2025-05,ID:1257,辉莹医疗,负责人 B,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,78.0,-1.0,0.0,Relative Position,NO_ALERT,MISSING,ID_MATCHED,,Relative Position: 排名变化-1，同月分位11.6%
2025-05,ID:12642,九之堂旗舰店,负责人 B,MID,NO_PRIORITY,59928.43,89991.64,-30063.21,30063.21,-0.3340666977510355,42.0,5.0,0.0066258315790765,,NO_ALERT,MISSING,NAME_MATCHED,0.0236363636363636,
2025-05,ID:12823,众维器械,负责人 B,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,78.0,-1.0,0.0,Relative Position,NO_ALERT,MISSING,ID_MATCHED,,Relative Position: 排名变化-1，同月分位11.6%
2025-05,ID:12947,江西省战狼商贸,负责人 B,KEY,WATCHLIST,532460.04,416948.66,115511.38000000006,0.0,0.277039815885246,6.0,-7.0,0.0306987582211154,Scale / Impact,NO_ALERT,MISSING,NAME_MATCHED,0.0334148329258353,Scale / Impact: GMV损失0.00，上月区域占比3.1%
