date,activity_type,activity_id,product_code,purchase_amount,order_count,theme_name,display_name
2026-04-01,批购包邮,974372703,PX00010043DR02,698.0,1,,2台包邮 欧姆龙 电子血压计HEM-7121
2026-04-01,批购包邮,974383493,PX00010043DR02,1515.91,2,,2台包邮 欧姆龙 电子血压计(上臂式)HEM-7121
2026-04-01,拼团,1091209882,PX000100482400ZZ,1259.84,5,非药拉新必补（热门品拉新客）,2台包邮欧姆龙 电子血压计(上臂式)HEM-8102K
2026-04-01,拼团,1091213751,PX001011479000ZZ,647.25,5,非药拉新必补（热门品拉新客）,10包包邮海氏海诺 倍适威 医用护理垫成人专用型 60cm×90cm 10片
2026-04-01,拼团,1098539696,PX000101268600ZZ,227.54,1,非药拉新必补（热门品拉新客）,2台包邮欧姆龙 电子血压计(上臂式)L15
2026-04-01,拼团,1098546392,PX00000022DR02,141.16,1,非药热销起拼量曝光,4盒包邮艾科 EZIII 血糖测试条艾科?EZIII（On Call EZIII） 50人份 筒装（4盒试纸送1台机子）
2026-04-01,拼团,1099499285,PX000101293500ZZ,1149.75,2,【周五非药日】-长期端口提报,20盒包邮天福 脱敏糊剂120g/支
2026-04-01,拼团,1104232109,PX00010043DR02,2057.4,3,非药拉新必补（热门品拉新客）,2台包邮欧姆龙 电子血压计(上臂式)HEM-7121
2026-04-01,拼团,1106612437,PX00000038DR02,320.0,1,非药热销起拼量曝光,8盒包邮艾科 灵睿 血糖测试条艾科?灵睿（On Call EZII） 25人份 单人份
2026-04-01,拼团,1113101906,PX000101163900ZZ,121.12,2,非药拉新必补（热门品拉新客）,2台包邮雅斯 臂式电子血压计JN-163D *1台
2026-04-01,拼团,1113127552,PX000101163900ZZ,121.96,1,非药店铺全天拼（长期链接重点报）,2台包邮雅斯 臂式电子血压计JN-163D *1台
2026-04-01,拼团,1116500953,PX000100995500ZZ,167.6,1,非药拉新必补（热门品拉新客）,40瓶包邮爱心氧吧 便携式医用供氧器SFK-3 1000mL
2026-04-01,拼团,1129588291,PX000011381900ZZ,347.4,1,非药拉新必补（热门品拉新客）,20盒包邮雅斯 血糖试纸(电化学法)GLS-73 25片*2罐 罐装
2026-04-01,拼团,1129859298,PX000000405600ZZ,4445.61,16,【周五非药日】-长期端口提报,2台包邮鱼跃 臂式电子血压计YE655D *1台
2026-04-01,拼团,1143671226,PX000000413200ZZ,450.0,5,【周五非药日】-长期端口提报,90小袋包邮海氏海诺 倍适威 外科纱布敷料纱布块 8cm*10cm 8层 5块
2026-04-01,拼团,974385758,PX00000073DR02,588.0,1,非药店铺全天拼（长期链接重点报）,2套包邮三诺 安稳+血糖仪套装(血糖仪/血糖测试条/一次性使用末梢采血针)安稳+*1台+安稳+50支*1盒+Ⅰ型 28G 50支
2026-04-01,拼团,974385766,PX000000418200ZZ,2147.1,8,非药店铺全天拼（长期链接重点报）,5盒包邮三诺 安稳+ 血糖测试条安稳+ 50支
2026-04-01,拼团,974385821,PX00010043DR02,554.0,2,非药店铺全天拼（长期链接重点报）,2台包邮欧姆龙 电子血压计HEM-7121
2026-04-01,拼团,994233044,PX00000009DR02,952.4,3,【周五非药日】-长期端口提报,5盒包邮三诺 安稳 血糖试条安稳型 50支/盒
2026-04-02,批购包邮,1094664429,PX000100939600ZZ,495.0,1,,100袋包邮 艾暖 一次性输液加温贴(一次性发热贴)96mm*130mm*1片装（单片的价格）
2026-04-02,批购包邮,1114638763,PX000101015500ZZ,43.92,1,,48卷包邮 倍适威 弹性绷带BSW-04 450cm*5cm 1卷
2026-04-02,拼团,1032591271,PX00010049DR02,201.3,1,云闪付专区,3台包邮倍尔康 非接触式电子体温计JXB-178*1台
2026-04-02,拼团,1032663093,PX00000013DR02,892.2,3,非药拉新必补（热门品拉新客）,10盒包邮三诺 血糖试条安准型 50支 瓶装
2026-04-02,拼团,1091209882,PX000100482400ZZ,254.0,1,非药拉新必补（热门品拉新客）,2台包邮欧姆龙 电子血压计(上臂式)HEM-8102K
2026-04-02,拼团,1091213751,PX001011479000ZZ,776.7,8,非药拉新必补（热门品拉新客）,10包包邮海氏海诺 倍适威 医用护理垫成人专用型 60cm×90cm 10片
2026-04-02,拼团,1098527914,PX000000413400ZZ,47.0,1,非药拉新必补（热门品拉新客）,300片包邮艾暖 暖宝宝 暖贴(一次性发热贴)96mm*130mm*1片装
2026-04-02,拼团,1098539696,PX000101268600ZZ,227.54,1,非药拉新必补（热门品拉新客）,2台包邮欧姆龙 电子血压计(上臂式)L15
2026-04-02,拼团,1098546392,PX00000022DR02,141.16,1,非药热销起拼量曝光,4盒包邮艾科 EZIII 血糖测试条艾科?EZIII（On Call EZIII） 50人份 筒装（4盒试纸送1台机子）
2026-04-02,拼团,1104232109,PX00010043DR02,685.8,1,非药拉新必补（热门品拉新客）,2台包邮欧姆龙 电子血压计(上臂式)HEM-7121
2026-04-02,拼团,1113101906,PX000101163900ZZ,60.86,1,非药拉新必补（热门品拉新客）,2台包邮雅斯 臂式电子血压计JN-163D *1台
2026-04-02,拼团,1113127552,PX000101163900ZZ,304.9,1,非药店铺全天拼（长期链接重点报）,2台包邮雅斯 臂式电子血压计JN-163D *1台
2026-04-02,拼团,1116500953,PX000100995500ZZ,335.2,2,非药拉新必补（热门品拉新客）,40瓶包邮爱心氧吧 便携式医用供氧器SFK-3 1000mL
2026-04-02,拼团,1129859298,PX000000405600ZZ,2963.74,10,【周五非药日】-长期端口提报,2台包邮鱼跃 臂式电子血压计YE655D *1台
2026-04-02,拼团,1143671226,PX000000413200ZZ,180.0,2,【周五非药日】-长期端口提报,90小袋包邮海氏海诺 倍适威 外科纱布敷料纱布块 8cm*10cm 8层 5块
2026-04-02,拼团,1143774146,PX00000132DR02,138.5,1,非药新开商业成长提速（3月活动）,5盒包邮三诺 血糖试条GA-3型 50支 瓶装
2026-04-02,拼团,1150328995,PX000101094100ZZ,94.0,1,非药店铺全天拼（长期链接重点报）,10瓶包邮振德 便携式氧气呼吸器LFBZ-1000 1000ml
2026-04-02,拼团,1165922936,PX00000132DR02,136.9,1,非药新开商业成长提速（4月活动）,5盒包邮三诺 血糖试条GA-3型 50支 瓶装
2026-04-02,拼团,1165930312,PX00010043DR02,412.92,1,非药新开商业成长提速（4月活动）,2台包邮欧姆龙 电子血压计(上臂式)HEM-7121
2026-04-02,拼团,1165953164,PX000000405600ZZ,4435.86,16,非药新开商业成长提速（4月活动）,2台包邮鱼跃 臂式电子血压计YE655D *1台
2026-04-02,拼团,1166004841,PX000000418200ZZ,222.75,1,非药拉新必补（热门品拉新客）,10盒包邮三诺 安稳+ 血糖测试条安稳+ 50支
2026-04-02,拼团,974385766,PX000000418200ZZ,7634.75,22,非药店铺全天拼（长期链接重点报）,5盒包邮三诺 安稳+ 血糖测试条安稳+ 50支
2026-04-02,拼团,974385821,PX00010043DR02,1385.0,5,非药店铺全天拼（长期链接重点报）,2台包邮欧姆龙 电子血压计HEM-7121
2026-04-02,拼团,974389887,PX00000038DR02,159.92,1,夜间拼团（长期）【活动每天20点开始】,8盒包邮艾科 灵睿 血糖测试条艾科?灵睿（On Call EZII） 25人份 单人份（8盒试纸送1台机子）
2026-04-02,拼团,994233044,PX00000009DR02,2493.0,7,【周五非药日】-长期端口提报,5盒包邮三诺 安稳 血糖试条安稳型 50支/盒
2026-04-03,批购包邮,1094668927,PX000101293500ZZ,365.6,1,,15盒包邮 天福 脱敏糊剂120g/支
2026-04-03,批购包邮,974383493,PX00010043DR02,966.05,3,,2台包邮 欧姆龙 电子血压计(上臂式)HEM-7121
2026-04-03,拼团,1032663093,PX00000013DR02,0.0,0,非药拉新必补（热门品拉新客）,10盒包邮三诺 血糖试条安准型 50支 瓶装
2026-04-03,拼团,1091209750,PX00010049DR02,202.05,1,非药拉新必补（热门品拉新客）,3台包邮倍尔康 非接触式红外体温计JXB-178*1台
2026-04-03,拼团,1091209882,PX000100482400ZZ,502.92,2,非药拉新必补（热门品拉新客）,2台包邮欧姆龙 电子血压计(上臂式)HEM-8102K
2026-04-03,拼团,1091213751,PX001011479000ZZ,431.5,4,非药拉新必补（热门品拉新客）,10包包邮海氏海诺 倍适威 医用护理垫成人专用型 60cm×90cm 10片
2026-04-03,拼团,1098527914,PX000000413400ZZ,47.0,1,非药拉新必补（热门品拉新客）,300片包邮艾暖 暖宝宝 暖贴(一次性发热贴)96mm*130mm*1片装
2026-04-03,拼团,1104232109,PX00010043DR02,2057.4,3,非药拉新必补（热门品拉新客）,2台包邮欧姆龙 电子血压计(上臂式)HEM-7121
2026-04-03,拼团,1113127552,PX000101163900ZZ,0.0,0,非药店铺全天拼（长期链接重点报）,2台包邮雅斯 臂式电子血压计JN-163D *1台
2026-04-03,拼团,1114638780,PX000101015500ZZ,42.12,1,非药拉新必补（热门品拉新客）,120卷包邮倍适威 弹性绷带BSW-04 450cm*5cm 1卷
2026-04-03,拼团,1116500953,PX000100995500ZZ,167.6,1,非药拉新必补（热门品拉新客）,40瓶包邮爱心氧吧 便携式医用供氧器SFK-3 1000mL
2026-04-03,拼团,1117851229,PX00010049DR02,134.96,1,非药商家热销品,2台包邮倍尔康 非接触式红外体温计JXB-178*1台
2026-04-03,拼团,1129588291,PX000011381900ZZ,347.4,1,非药拉新必补（热门品拉新客）,20盒包邮雅斯 血糖试纸(电化学法)GLS-73 25片*2罐 罐装
