month,activity_type,activity_id,theme_name,display_name,product_code,purchase_amount,order_count
2026-04,批购包邮,1094664429,,100袋包邮 艾暖 一次性输液加温贴(一次性发热贴)96mm*130mm*1片装（单片的价格）,PX000100939600ZZ,495.0,1
2026-04,批购包邮,1094668927,,15盒包邮 天福 脱敏糊剂120g/支,PX000101293500ZZ,365.6,1
2026-04,批购包邮,1104832648,,12盒包邮 天福 脱敏糊剂61g/支,PX000101308200ZZ,63.0,1
2026-04,批购包邮,1114638763,,48卷包邮 倍适威 弹性绷带BSW-04 450cm*5cm 1卷,PX000101015500ZZ,87.84,2
2026-04,批购包邮,1118641290,,10瓶包邮 海氏海诺 便携式氧气呼吸器LFBZ-1000 1000ml,PX000101225400ZZ,1691.15,13
2026-04,批购包邮,1173809438,,5盒包邮 三诺 血糖试条安稳型 瓶装 50支,PX00000009DR02,1825.0,7
2026-04,批购包邮,974372703,,2台包邮 欧姆龙 电子血压计HEM-7121,PX00010043DR02,698.0,1
2026-04,批购包邮,974383493,,2台包邮 欧姆龙 电子血压计(上臂式)HEM-7121,PX00010043DR02,41012.37,100
2026-04,拼团,1032588877,云闪付专区,2台包邮倍尔康 非接触式红外体温计JXB-178*1台,PX00010049DR02,134.28,1
2026-04,拼团,1032589058,夜间拼团（长期）【活动每天20点开始】,2台包邮倍尔康 非接触式红外体温计JXB-178*1台,PX00010049DR02,606.46,4
2026-04,拼团,1032590577,非药店铺全天拼（长期链接重点报）,2台包邮倍尔康 非接触式电子体温计JXB-178*1台,PX00010049DR02,423.98,3
2026-04,拼团,1032591271,云闪付专区,3台包邮倍尔康 非接触式电子体温计JXB-178*1台,PX00010049DR02,3152.7000000000003,14
2026-04,拼团,1032663093,非药拉新必补（热门品拉新客）,10盒包邮三诺 血糖试条安准型 50支 瓶装,PX00000013DR02,4458.0,15
2026-04,拼团,1048827696,非药拉新必补（热门品拉新客）,10盒包邮三诺 安稳 血糖试条安稳型 50支/盒,PX00000009DR02,450.0,1
2026-04,拼团,1091209750,非药拉新必补（热门品拉新客）,3台包邮倍尔康 非接触式红外体温计JXB-178*1台,PX00010049DR02,202.05,1
2026-04,拼团,1091209882,非药拉新必补（热门品拉新客）,2台包邮欧姆龙 电子血压计(上臂式)HEM-8102K,PX000100482400ZZ,2519.6800000000003,10
2026-04,拼团,1091213751,非药拉新必补（热门品拉新客）,10包包邮海氏海诺 倍适威 医用护理垫成人专用型 60cm×90cm 10片,PX001011479000ZZ,10476.82,101
2026-04,拼团,1098527914,非药拉新必补（热门品拉新客）,300片包邮艾暖 暖宝宝 暖贴(一次性发热贴)96mm*130mm*1片装,PX000000413400ZZ,1880.0,40
2026-04,拼团,1098539696,非药拉新必补（热门品拉新客）,2台包邮欧姆龙 电子血压计(上臂式)L15,PX000101268600ZZ,2694.48,11
2026-04,拼团,1098546392,非药热销起拼量曝光,4盒包邮艾科 EZIII 血糖测试条艾科?EZIII（On Call EZIII） 50人份 筒装（4盒试纸送1台机子）,PX00000022DR02,564.64,3
2026-04,拼团,1099499285,【周五非药日】-长期端口提报,20盒包邮天福 脱敏糊剂120g/支,PX000101293500ZZ,3668.25,9
2026-04,拼团,1099546828,非药店铺全天拼（长期链接重点报）,6包包邮倍适威 医用护理垫(成人拉拉裤)BKLLK-L码 60cm*73cm*10片,PX000100888300ZZ,65.5,1
2026-04,拼团,1099548151,非药店铺全天拼（长期链接重点报）,6包包邮海氏海诺 倍适威 医用护理垫(拉拉裤型)BKLLK-XL(69cm*80cm)*10片,PX000100888400ZZ,1533.3100000000002,16
2026-04,拼团,1104040150,【周五非药日】-长期端口提报,120小袋包邮海氏海诺 医用棉签10cm 40支,PX000101259800ZZ,484.0,8
2026-04,拼团,1104232109,非药拉新必补（热门品拉新客）,2台包邮欧姆龙 电子血压计(上臂式)HEM-7121,PX00010043DR02,23160.86,65
2026-04,拼团,1106612437,非药热销起拼量曝光,8盒包邮艾科 灵睿 血糖测试条艾科?灵睿（On Call EZII） 25人份 单人份,PX00000038DR02,3840.0,17
2026-04,拼团,1106618385,非药热销起拼量曝光,40瓶包邮爱心氧吧 便携式医用供氧器SFK-3 1000mL,PX000100995500ZZ,174.8,1
2026-04,拼团,1110642723,非药拉新必补（热门品拉新客）,10包包邮倍适威 医用护理垫方型 60cm×90cm 10片,PX001011479000ZZ,221.0,3
2026-04,拼团,1110643158,非药拉新必补（热门品拉新客）,2台包邮欧姆龙 电子血压计(手腕式)HEM-6160J*1台,PX000101172900ZZ,254.5,1
2026-04,拼团,1113101906,非药拉新必补（热门品拉新客）,2台包邮雅斯 臂式电子血压计JN-163D *1台,PX000101163900ZZ,2550.72,42
2026-04,拼团,1113127552,非药店铺全天拼（长期链接重点报）,2台包邮雅斯 臂式电子血压计JN-163D *1台,PX000101163900ZZ,1798.9099999999999,21
2026-04,拼团,1114638767,【周五非药日】-长期端口提报,48卷包邮倍适威 弹性绷带BSW-04 450cm*5cm 1卷,PX000101015500ZZ,182.64,2
2026-04,拼团,1114638771,非药商家热销品,48卷包邮倍适威 弹性绷带BSW-04 450cm*5cm 1卷,PX000101015500ZZ,56.64,1
2026-04,拼团,1114638780,非药拉新必补（热门品拉新客）,120卷包邮倍适威 弹性绷带BSW-04 450cm*5cm 1卷,PX000101015500ZZ,2120.4,37
2026-04,拼团,1114647152,非药商家热销品,72袋包邮海氏海诺 医用冰袋 无需冷藏Ⅱ型 120g,PX000100679500ZZ,129.84,3
2026-04,拼团,1116377383,【周五非药日】-长期端口提报,200片包邮艾暖 暖宝宝 暖贴(一次性发热贴)96mm*130mm*1片装,PX000000413400ZZ,98.0,2
2026-04,拼团,1116384222,夜间拼团（长期）【活动每天20点开始】,200片包邮艾暖 暖宝宝 暖贴(一次性发热贴)96mm*130mm*1片装,PX000000413400ZZ,329.0,6
2026-04,拼团,1116386044,云闪付专区,200片包邮艾暖 暖宝宝 暖贴(一次性发热贴)96mm*130mm*1片装,PX000000413400ZZ,49.0,1
2026-04,拼团,1116500953,非药拉新必补（热门品拉新客）,40瓶包邮爱心氧吧 便携式医用供氧器SFK-3 1000mL,PX000100995500ZZ,3822.4,23
2026-04,拼团,1116511586,夜间拼团（长期）【活动每天20点开始】,48卷包邮倍适威 弹性绷带BSW-04 450cm*5cm 1卷,PX000101015500ZZ,149.16,2
2026-04,拼团,1117851229,非药商家热销品,2台包邮倍尔康 非接触式红外体温计JXB-178*1台,PX00010049DR02,2761.76,18
