previous_month,current_month,product_key,product_code,product_name,manufacturer,specification,previous_amount,current_amount,amount_change,period_status,mapping_quality_status
2026-04,2026-05,PX00010043DR02,PX00010043DR02,2台包邮 欧姆龙 电子血压计(上臂式)HEM-7121,欧姆龙(大连)有限公司,HEM-7121,100905.7,865.0,-100040.7,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX00000009DR02,PX00000009DR02,5盒包邮三诺 安稳 血糖试条安稳型 50支/盒,三诺生物传感技术股份有限公司,安稳型 50支/盒,79859.3,1146.2,-78713.1,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX000000418200ZZ,PX000000418200ZZ,5盒包邮三诺 安稳+ 血糖测试条安稳+ 50支,三诺生物传感股份有限公司,安稳+ 50支,73345.22,237.6,-73107.62,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX000000405600ZZ,PX000000405600ZZ,2台包邮鱼跃 臂式电子血压计YE655D *1台,江苏鱼跃医疗设备股份有限公司,YE655D *1台,105110.4,51395.590000000004,-53714.80999999999,RETAINED_ACTIVE,VALID
2026-04,2026-05,PX000101258400ZZ,PX000101258400ZZ,2盒包邮甘李 秀霖笔 笔式胰岛素注射器XLB01E 1支,甘甘医疗科技江苏有限公司,XLB01E 1支,19263.94,0.0,-19263.94,PREVIOUS_ONLY_ACTIVE,VALID
2026-04,2026-05,PX00000022DR02,PX00000022DR02,4盒包邮艾科 EZIII 血糖测试条艾科?EZIII（On Call EZIII） 50人份 筒装,艾康生物技术(杭州)有限公司,艾科?EZIII（On Call EZIII） 50人份 筒装,13306.16,1276.48,-12029.68,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX00010049DR02,PX00010049DR02,2台包邮倍尔康 非接触式红外体温计JXB-178*1台,广州市倍尔康医疗器械有限公司,JXB-178*1台,7281.2300000000005,616.0,-6665.2300000000005,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX000101293500ZZ,PX000101293500ZZ,12盒包邮天福 脱敏糊剂120g/支,四川天福精细化工有限公司,120g/支,7080.65,1932.34,-5148.3099999999995,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX00000132DR02,PX00000132DR02,5盒包邮三诺 血糖试条GA-3型 50支 瓶装,三诺生物传感股份有限公司,GA-3型 50支 瓶装,5161.64,138.5,-5023.14,RETAINED_ACTIVE,VALID
2026-04,2026-05,PX001011479000ZZ,PX001011479000ZZ,10包包邮海氏海诺 倍适威 医用护理垫成人专用型 60cm×90cm 10片,海氏海诺倍适威医疗用品(青岛)有限公司,成人专用型 60cm×90cm 10片,11967.1,7296.66,-4670.4400000000005,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX00000038DR02,PX00000038DR02,8盒包邮艾科 灵睿 血糖测试条艾科?灵睿（On Call EZII） 25人份 单人份,艾康生物技术(杭州)有限公司,艾科?灵睿（On Call EZII） 25人份 单人份,9124.32,4482.88,-4641.44,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX00000013DR02,PX00000013DR02,10盒包邮三诺 血糖试条安准型 50支 瓶装,三诺生物传感股份有限公司,安准型 50支 瓶装,4458.0,594.8,-3863.2,RETAINED_ACTIVE,VALID
2026-04,2026-05,PX000100482400ZZ,PX000100482400ZZ,2台包邮欧姆龙 电子血压计(上臂式)HEM-8102K,欧姆龙(大连)有限公司,HEM-8102K,3030.76,0.0,-3030.76,PREVIOUS_ONLY_ACTIVE,VALID
2026-04,2026-05,PX000101268600ZZ,PX000101268600ZZ,2台包邮欧姆龙 电子血压计(上臂式)L15,欧姆龙(大连)有限公司,L15,2920.16,0.0,-2920.16,PREVIOUS_ONLY_ACTIVE,VALID
2026-04,2026-05,PX000100995500ZZ,PX000100995500ZZ,40瓶包邮爱心氧吧 便携式医用供氧器SFK-3 1000mL,宝鸡市双峰气体有限公司,SFK-3 1000mL,4340.4,1932.3899999999999,-2408.0099999999998,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX00050373DR02,PX00050373DR02,10盒包邮艾暖 热敷贴96mm×130mm 5片,青岛沃普艾斯日用品有限公司,96mm×130mm 5片,2484.05,474.04999999999995,-2010.0000000000002,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX000101225400ZZ,PX000101225400ZZ,10瓶包邮 海氏海诺 便携式氧气呼吸器LFBZ-1000 1000ml,连云港利丰医用氧产品有限公司,LFBZ-1000 1000ml,1691.15,279.7,-1411.45,RETAINED_ACTIVE,VALID
2026-04,2026-05,PX000000413200ZZ,PX000000413200ZZ,90小袋包邮海氏海诺 倍适威 外科纱布敷料纱布块 8cm*10cm 8层 5块,曹县华鑫卫生材料有限公司,纱布块 8cm*10cm 8层 5块,3232.8,1858.2,-1374.6000000000001,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX000011381900ZZ,PX000011381900ZZ,20盒包邮雅斯 血糖试纸(电化学法)GLS-73 25片*2罐 罐装,青岛雅斯生物科技有限公司,GLS-73 25片*2罐 罐装,1042.1999999999998,0.0,-1042.1999999999998,PREVIOUS_ONLY_ACTIVE,VALID
2026-04,2026-05,PX00000073DR02,PX00000073DR02,2套包邮三诺 安稳+血糖仪套装(血糖仪/血糖测试条/一次性使用末梢采血针)安稳+*1台+安稳+50支*1盒+Ⅰ型 28G 50支,三诺生物传感股份有限公司,安稳+*1台+安稳+50支*1盒+Ⅰ型 28G 50支*1盒,1001.0,119.0,-882.0,RETAINED_ACTIVE,VALID
2026-04,2026-05,PX000101173000ZZ,PX000101173000ZZ,2台包邮欧姆龙 电子血压计HEM-7125J,欧姆龙(大连)有限公司,HEM-7125J,786.38,0.0,-786.38,PREVIOUS_ONLY_ACTIVE,VALID
2026-04,2026-05,PX000100939600ZZ,PX000100939600ZZ,30中袋30袋包邮 艾暖 一次性输液加温贴(一次性发热贴)96mm*130mm*1片装,青岛沃普艾斯日用品有限公司,96mm*130mm*1片装,495.0,0.0,-495.0,PREVIOUS_ONLY_ACTIVE,VALID
2026-04,2026-05,PX001011425400ZZ,PX001011425400ZZ,40包包邮海氏海诺 倍适威 医用检查手套聚乙烯(PE)型 中号(M) 100只,海氏海诺倍适威医疗用品(青岛)有限公司,聚乙烯(PE)型 中号(M) 100只,519.2,74.0,-445.20000000000005,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX000101149100ZZ,PX000101149100ZZ,30盒包邮海氏海诺 牙线棒50支/盒,海氏海诺健康科技股份有限公司,50支/盒,406.7,0.0,-406.7,PREVIOUS_ONLY_ACTIVE,VALID
2026-04,2026-05,PX000101094100ZZ,PX000101094100ZZ,10瓶包邮振德 便携式氧气呼吸器LFBZ-1000 1000ml,连云港利丰医用氧产品有限公司,LFBZ-1000 1000ml,830.0,562.0,-268.0,RETAINED_ACTIVE,VALID
2026-04,2026-05,PX000101259800ZZ,PX000101259800ZZ,80小袋包邮海氏海诺 医用棉签10cm 40支,青岛海诺生物工程有限公司,10cm 40支,484.0,379.6,-104.39999999999998,RETAINED_ACTIVE,VALID
2026-04,2026-05,PX000100888300ZZ,PX000100888300ZZ,5包包邮倍适威 医用护理垫(成人拉拉裤)BKLLK-L码 60cm*73cm*10片,海氏海诺倍适威医疗用品(青岛)有限公司,BKLLK-L码 60cm*73cm*10片,65.5,0.0,-65.5,PREVIOUS_ONLY_ACTIVE,CONFLICT
2026-04,2026-05,PX000100679500ZZ,PX000100679500ZZ,24袋包邮海氏海诺 医用冰袋 无需冷藏Ⅱ型 120g,海氏海诺倍适威医疗用品(青岛)有限公司,Ⅱ型 120g,343.92,311.28,-32.64000000000004,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX000101277000ZZ,PX000101277000ZZ,5盒包邮海氏海诺 叶黄素蒸汽眼罩A291*8cm*18.5cm*10袋,石家庄蝉鸣生物科技有限公司,8cm*18.5cm*10袋,0.0,31.3,31.3,CURRENT_ONLY_ACTIVE,VALID
2026-04,2026-05,PX000101308200ZZ,PX000101308200ZZ,12盒包邮 天福 脱敏糊剂61g/支,四川天福精细化工有限公司,61g/支,63.0,118.8,55.8,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX000100997900ZZ,PX000100997900ZZ,10盒包邮安迪美格 三角绷带纱布型96cm*96cm*136cm*1只装,青岛安迪美格医疗用品有限公司,纱布型96cm*96cm*136cm*1只装,0.0,63.0,63.0,CURRENT_ONLY_ACTIVE,VALID
2026-04,2026-05,PX000000424600ZZ,PX000000424600ZZ,48袋包邮 艾暖 医用冰袋OPIS-BD-II*200g,青岛沃普艾斯日用品有限公司,OPIS-BD-II*200g,0.0,67.2,67.2,CURRENT_ONLY_ACTIVE,VALID
2026-04,2026-05,PX000101348400ZZ,PX000101348400ZZ,10盒包邮倍适威 专用洗鼻盐3.6g*40袋,海氏海诺倍适威医疗用品(青岛)有限公司,3.6g*40袋,0.0,117.45,117.45,CURRENT_ONLY_ACTIVE,VALID
2026-04,2026-05,PX00000017DR02,PX00000017DR02,4盒包邮 三诺 智能血糖纸条智能型 50支/盒,三诺生物传感股份有限公司,智能型 50支/盒,0.0,220.0,220.0,CURRENT_ONLY_ACTIVE,VALID
2026-04,2026-05,PX000101140700ZZ,PX000101140700ZZ,10盒包邮海氏海诺 一次性使用医用外科口罩无菌耳挂式平面形 17.5cm×9.5cm *50只,海氏海诺健康科技股份有限公司,无菌耳挂式平面形 17.5cm×9.5cm *50只,0.0,460.0,460.0,CURRENT_ONLY_ACTIVE,VALID
2026-04,2026-05,PX000101163900ZZ,PX000101163900ZZ,2台包邮雅斯 臂式电子血压计JN-163D *1台,青岛雅世医疗器械有限公司,JN-163D *1台,4349.63,4864.38,514.75,RETAINED_ACTIVE,VALID
2026-04,2026-05,PX001011445200ZZ,PX001011445200ZZ,36盒包邮海氏海诺集团 倍适威 棉签BSW-02 8cm允许偏差±1cm 200支,海氏海诺倍适威医疗用品(青岛)有限公司,BSW-02 8cm允许偏差±1cm 200支,989.76,1519.44,529.6800000000001,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX000100765500ZZ,PX000100765500ZZ,2盒包邮康祝 康祝真空拔罐器B1X24,北京康祝医疗器械有限公司,B1X24,0.0,542.35,542.35,CURRENT_ONLY_ACTIVE,VALID
2026-04,2026-05,PX000100981200ZZ,PX000100981200ZZ,5桶包邮金博 医用胶布A型1cm*1000cm*13卷,昆明双龙卫生材料有限公司,A型1cm*1000cm*13卷,765.4,1384.28,618.88,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX000101331500ZZ,PX000101331500ZZ,20包包邮倍适威 75%酒精卫生湿巾150mm*180mm*50片,海氏海诺倍适威医疗用品(青岛)有限公司,150mm*180mm*50片,0.0,720.0,720.0,CURRENT_ONLY_ACTIVE,CONFLICT
2026-04,2026-05,PX000100888400ZZ,PX000100888400ZZ,5包包邮海氏海诺 倍适威 医用护理垫(拉拉裤型)BKLLK-XL(69cm*80cm)*10片,海氏海诺倍适威医疗用品(青岛)有限公司,BKLLK-XL(69cm*80cm)*10片,1533.3100000000002,2378.78,845.47,RETAINED_ACTIVE,VALID
2026-04,2026-05,PX000101172900ZZ,PX000101172900ZZ,1台包邮欧姆龙 电子血压计(手腕式)HEM-6160J*1台,欧姆龙(大连)有限公司,HEM-6160J*1台,254.5,1271.0700000000002,1016.5700000000002,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX000100482000ZZ,PX000100482000ZZ,48袋包邮海氏海诺集团 艾暖 医用冰袋OPIS-BD-ll 120g*1袋,青岛沃普艾斯日用品有限公司,OPIS-BD-ll 120g*1袋,946.56,2393.56,1447.0,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX000000413400ZZ,PX000000413400ZZ,100片包邮艾暖 暖宝宝 暖贴(一次性发热贴)96mm*130mm*1片装,青岛沃普艾斯日用品有限公司,96mm*130mm*1片装,2693.0,4283.0,1590.0,RETAINED_ACTIVE,CONFLICT
2026-04,2026-05,PX00050094DR02,PX00050094DR02,2盒包邮康祝 真空拔罐器B1X12,北京康祝医疗器械有限公司,B1X12,0.0,1645.0,1645.0,CURRENT_ONLY_ACTIVE,VALID
2026-04,2026-05,PX000100998800ZZ,PX000100998800ZZ,5盒包邮海氏海诺 生理氯化钠溶液(英诺威系列)5ml*21支,湖北钰凯医疗用品有限公司,5ml*21支,0.0,2203.2,2203.2,CURRENT_ONLY_ACTIVE,CONFLICT
2026-04,2026-05,PX00280116DR02,PX00280116DR02,10盒包邮雅斯 血糖试纸(电化学法)GLS-77 25片*2罐 罐装,青岛雅斯生物科技有限公司,GLS-77 25片*2罐 罐装,1287.6,7723.5,6435.9,RETAINED_ACTIVE,VALID
2026-04,2026-05,PX000101015500ZZ,PX000101015500ZZ,36卷包邮倍适威 弹性绷带BSW-04 450cm*5cm 1卷,海氏海诺倍适威医疗用品(青岛)有限公司,BSW-04 450cm*5cm 1卷,3445.44,16247.76,12802.32,RETAINED_ACTIVE,CONFLICT
