date,purchase_amount,order_count
2026-04-01,17912.04,61
2026-04-02,24722.92,91
2026-04-03,23916.49,88
2026-04-04,21009.91,78
2026-04-05,13840.95,53
2026-04-06,21511.8,88
2026-04-07,18858.87,70
2026-04-08,15454.1,62
2026-04-09,12298.07,47
2026-04-10,24023.33,78
2026-04-11,24524.45,95
2026-04-12,15900.71,55
2026-04-13,23904.79,88
2026-04-14,27921.06,85
2026-04-15,11954.73,53
2026-04-16,11171.94,49
2026-04-17,15246.04,52
2026-04-18,15649.38,63
2026-04-19,19632.57,66
2026-04-20,26440.47,100
2026-04-21,20199.58,69
2026-04-22,16726.93,79
2026-04-23,9893.92,55
2026-04-24,10454.94,49
2026-04-25,7560.39,52
2026-04-26,5770.34,43
2026-04-27,9513.8,57
2026-04-28,5704.56,42
2026-04-29,3583.99,44
2026-04-30,1562.01,20
2026-05-01,1297.93,17
2026-05-02,1257.8,16
2026-05-03,1757.67,23
2026-05-04,2403.44,33
2026-05-05,2187.56,29
2026-05-06,2878.93,37
2026-05-07,3065.47,32
2026-05-08,4099.58,41
2026-05-09,2823.03,30
2026-05-10,1788.69,22
2026-05-11,4865.68,45
2026-05-12,8414.43,49
2026-05-13,7504.71,48
2026-05-14,5000.67,30
2026-05-15,5914.09,46
2026-05-16,5339.95,31
2026-05-17,1418.98,17
2026-05-18,3539.99,22
2026-05-19,5116.2,41
2026-05-20,4680.66,47
2026-05-21,5074.67,41
2026-05-22,3344.17,30
2026-05-23,3238.34,39
2026-05-24,2652.35,29
2026-05-25,4939.36,42
2026-05-26,6242.59,36
2026-05-27,6624.06,53
2026-05-28,5935.94,43
2026-05-29,6031.4,44
2026-05-30,4788.0,46
