date,own_exposure,own_clicks,own_visitors,peer_exposure,peer_clicks,peer_visitors
2026-04-01,5892,308,142,2921,119,45
2026-04-02,6476,426,201,2924,117,45
2026-04-03,6766,486,204,2691,113,42
2026-04-04,4823,352,146,2193,101,37
2026-04-05,4541,261,123,2046,93,37
2026-04-06,6104,464,177,2806,123,47
2026-04-07,5641,419,185,3176,130,51
2026-04-08,4719,275,136,3091,126,48
2026-04-09,4905,280,132,3091,124,48
2026-04-10,5651,428,182,2981,123,47
2026-04-11,5487,343,167,2818,125,47
2026-04-12,3960,286,122,2649,121,46
2026-04-13,5664,370,167,3447,124,50
2026-04-14,1795,346,175,1123,126,49
2026-04-15,4371,202,100,3074,126,48
2026-04-16,4695,309,114,3057,125,47
2026-04-17,4601,257,119,2907,117,45
2026-04-18,4479,273,131,2742,119,45
2026-04-19,4625,302,136,2527,116,45
2026-04-20,6037,293,152,3325,119,49
2026-04-21,5771,376,165,3019,123,47
2026-04-22,5519,337,152,3000,128,48
2026-04-23,4638,180,95,2994,123,47
2026-04-24,4926,168,94,2887,117,44
2026-04-25,4061,138,90,2698,118,45
2026-04-26,3653,182,89,2534,115,44
2026-04-27,4973,181,109,3386,123,49
2026-04-28,3604,133,69,3099,128,48
2026-04-29,3534,142,75,3012,121,46
2026-04-30,2753,123,59,2536,106,41
2026-05-01,1379,53,30,1720,70,27
2026-05-02,1944,89,41,2053,80,31
2026-05-03,2138,88,44,2267,86,33
2026-05-04,2219,106,57,2649,99,37
2026-05-05,2303,126,62,2893,105,40
2026-05-06,2826,147,68,3307,108,43
2026-05-07,2787,125,57,3293,109,43
2026-05-08,3108,135,69,3148,109,42
2026-05-09,2803,129,45,3059,111,42
2026-05-10,2404,66,44,2502,95,37
2026-05-11,3303,183,70,3423,112,45
2026-05-12,3464,275,93,2984,108,42
2026-05-13,3349,163,85,3087,110,42
2026-05-14,3689,156,59,3085,109,41
2026-05-15,3745,227,84,2987,102,38
2026-05-16,3305,196,65,2791,106,38
2026-05-17,2484,98,41,2588,98,37
2026-05-18,3772,174,62,3510,108,42
2026-05-19,1575,166,77,1558,108,40
2026-05-20,1290,140,64,1203,104,38
2026-05-21,3415,149,77,2889,107,40
2026-05-22,3023,170,72,2800,99,37
2026-05-23,2842,162,66,2571,104,38
2026-05-24,2458,141,65,2314,96,36
2026-05-25,3026,154,82,2741,105,42
2026-05-26,2246,160,72,2010,109,40
2026-05-27,2087,147,72,1608,104,39
2026-05-28,2460,139,73,1971,106,39
2026-05-29,2929,158,76,2660,104,37
2026-05-30,2796,161,75,2484,101,36
2026-05-31,1879,131,59,2225,92,35
