file_name,relative_path,file_type,file_size,modified_time,possible_version_group,read_status,sheet,rows,columns,fields,preview_masked,date_candidates,date_range,possible_grain,candidate_keys,duplicate_rows,has_formula,notes
26年非药运营&商务绩效5月.pptx,绩效与商家销售额汇总\01_绩效\26年非药运营&商务绩效5月.pptx,pptx,172488,2026-07-06T19:09:04,26年非药运营&商务绩效5月,INVENTORY_ONLY,,,,,,,,,,,,Metadata inventory only; non-spreadsheet content not parsed in this pass.
商业季度绩效.eml,绩效与商家销售额汇总\01_绩效\商业季度绩效.eml,eml,154967,2026-07-10T16:46:24,商业季度绩效,INVENTORY_ONLY,,,,,,,,,,,,Metadata inventory only; non-spreadsheet content not parsed in this pass.
绩效额外附加表格.xlsx,绩效与商家销售额汇总\01_绩效\绩效额外附加表格.xlsx,xlsx,9724,2026-06-01T11:12:44,绩效额外附加表格,READABLE,绩效指标参考,16,2,绩效计算表 | <blank_2>,有效新开数 | 对应每家计件奖金（元） || Y ≥5 | 400 || Y =4 | 300,,,unknown_pending_business_confirmation,,3,False,Workbook sheet profiled locally; no source rows copied to output.
非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,xlsx,202791,2026-05-25T13:24:31,非药商务绩效+热销价+商家进度统计_DATE_sub_高运,READABLE,总体目标,5,19,月份 | 商务对接人 | 非重点品增量gmv | 重点品增量gmv | 开店商业数 | 首单商业数 | 有效新开数 | 当月订单数 | 当月商家原因售后订单数 | 上月订单数 | 上月商家原因售后订单数 | 当月商家原因售后订单率 | 上月商家原因售后订单率 | 当月商家原因售后订单率环比 | 售后备注 | 补充新开系数 | 新开系数 | 对应每家计件奖金 | 破峰提成系数,2026-03 | 高运 | 1823.440000000002 | 212652.33 | 7 | 4 | 0.6000000000000001 | 76348 | 1434 | 61139 | 1277 | <PHONE_MASKED> | 0.02088683164592159 | <PHONE_MASKED> | 无事发生 | 0 | 0.6 | 0 | 0 || 2026-04 | 高运 | 40631.21000000004 | 590020.43 | 4 | 5 | 0.4 | 66568 | 1196 | 76348 | 1434 | <PHONE_MASKED> | <PHONE_MASKED> | -0.04343566553813449 | 无事发生 | 0 | 0.4 | 0 | 0 || 2026-02 | 高运 | 997.2699999999531 | 49572.48 | None | 1 | 1.2 | 62084 | 1285 | 85371 | 1635 | 0.02069776431930932 | <PHONE_MASKED> | <PHONE_MASKED> | 绩效扣除10% | 0 | 1.2 | 0 | 0,月份,月份:2026-01-01..2026-05-01,unknown_pending_business_confirmation,,0,False,Workbook sheet profiled locally; no source rows copied to output.
非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,xlsx,202791,2026-05-25T13:24:31,非药商务绩效+热销价+商家进度统计_DATE_sub_高运,READABLE,商业售后情况统计,18,8,月份 | 商务对接人1 | 当月订单数 | 当月商家原因售后订单数 | 上月订单数 | 上月商家原因售后订单数 | 当月商家原因售后订单率 | 上月商家原因售后订单率,202504 | 高运 | 94913 | 3540 | 99465 | 3774 | 0.03729731438264516 | 0.03794299502337506 || 202509 | 高运 | 83912 | 1866 | 84192 | 1672 | 0.02223758222900181 | <PHONE_MASKED> || 202412 | 高运 | 103462 | 3982 | 0 | 0 | 0.03848756065028706 | None,月份,月份:2024-12-01..2026-05-01,unknown_pending_business_confirmation,,0,False,Workbook sheet profiled locally; no source rows copied to output.
非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,xlsx,202791,2026-05-25T13:24:31,非药商务绩效+热销价+商家进度统计_DATE_sub_高运,READABLE,商业售后情况,1418,17,月份 | 供应商ID | 供应商名称 | 商业开店日期 | 当月订单数 | 上月订单数 | 当月售后订单数 | 上月售后订单数 | 当月商家原因售后订单数 | 上月商家原因售后订单数 | 商务对接人 | 供应商省份 | 运营名称 | 对应人 | 当月商家原因售后订单率 | 上月商家原因售后订单率 | 商家原因售后订单率环比,202506 | 1350 | 希尔康 | 20170814 | 1762 | 2241 | 118 | 134 | 70 | 88 | None | 四川省 | 高运 | 高运 | 0.03972758229284903 | 0.0392681838464971 | <PHONE_MASKED> || 202505 | 11905 | 贰美医疗 | 20230214 | 1859 | 1877 | 53 | 49 | 30 | 33 | None | 四川省 | 高运 | 高运 | <PHONE_MASKED> | <PHONE_MASKED> | <PHONE_MASKED> || 202602 | 21964 | 四川承泰仁商贸 | 20250619 | 350 | 396 | 12 | 6 | 3 | 1 | 高运 | 四川省 | None | 高运 | <PHONE_MASKED> | <ID_MASKED> | 2.394285714285714,月份 | 商业开店日期,月份:2024-12-01..2026-05-01 | 商业开店日期:2016-12-26..2026-05-18,unknown_pending_business_confirmation,供应商ID,0,False,Workbook sheet profiled locally; no source rows copied to output.
非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,xlsx,202791,2026-05-25T13:24:31,非药商务绩效+热销价+商家进度统计_DATE_sub_高运,READABLE,商业每月GMV,112,56,供应商ID | 供应商名称 | 供应商证件名称 | 供应商省份 | 供应商城市 | 商业类型 | 商业开店日期 | 商业首单日期 | 状态 | a202605 | a202604 | a202603 | a202602 | a202601 | a202512 | a202511 | a202510 | a202509 | a202508 | a202507 | a202506 | a202505 | a202504 | a202503 | a202502 | a202501 | a202412 | a202411 | a202410 | a202409 | a202408 | a202407 | a202406 | a202405 | a202404 | a202403 | a202402 | a202401 | a202312 | a202311 | a202310 | a202309 | a202308 | a202307 | a202306 | a202305 | a202304 | a202303 | a202302 | a202301 | 商务对接人 | 简称 | 运营名称 | 对应人 | 主店铺ID | 合并统计店铺,720 | 丽康琴保健品 | 四川丽康琴保健用品有限公司 | 四川省 | 成都市 | None | 20161226 | 20161230 | 有效 | 45940.83 | 58840.04 | 62467.27 | 70088.97 | 73712.78 | 72230.27 | 76806.85 | 87872.37 | 80322.08 | 89271.63 | 73174.31 | 78464.7 | 97959.95 | 124454.34 | 119142.63 | 107345.95 | 216985.04 | 150581.05 | 136574.85 | 136677.4 | 117741.45 | 132710.36 | 140849.12 | 176356.95 | 185884.52 | 190726.12 | 223305.45 | 107883.01 | 204531.16 | 179684.17 | 196952.79 | 175128.9 | 203764.25 | 206641.73 | 103920.98 | 134010.7 | 173251.53 | 135352.06 | 90928.92 | 70492.37 | 42698.89 | None | 丽康琴保健品 | 高运 | 高运 | 720 | 丽康琴保健品 || 1140 | 都尔东康 | 成都市尔东康商贸有限公司 | 四川省 | 成都市 | None | 20170620 | 20170622 | 有效 | 10032.2 | 8755 | 13328.92 | 12426.74 | 17911.74 | 12727.05 | 14072.88 | 13953.8 | 21033.3 | 10524.84 | 11677.14 | 14282.8 | 14085.48 | 15196.01 | 17008.05 | 20444.08 | 17273.34 | 14806.84 | 19474.04 | 24433.22 | 26263.16 | 27668.12 | 21594.92 | 15325.17 | 27544.12 | 17629.62 | 33861.84 | 25800.44 | 31221.48 | 38456.3 | 36813.98 | 35522.49 | 21204.53 | 15569.83 | 13538.42 | 24475.04 | 19688.57 | 25896.85 | 27909 | 59331.61 | 70780.94 | None | 都尔东康 | 高运 | 高运 | 1140 | 都尔东康 || 1142 | 普宁普慈 | 普宁市普慈医疗器械有限公司 | 广东省 | 揭阳市 | None | 20170620 | 20170628 | 有效 | 91629.28 | 65136.35 | 82024.43 | 72862.61 | 149577.84 | 198022.37 | 222823.29 | 145541.41 | 134313.87 | 144887.29 | 207450.55 | 190865.97 | 257435.33 | 265300.85 | 261222.86 | 224217.26 | 225821.26 | 307224.83 | 283024.62 | 258433.73 | 322827.73 | 383287.12 | 352134.91 | 384078.32 | 262181.09 | 248564.99 | 279775.63 | 194033.84 | 291853.49 | 335202.99 | 281698.8 | 284781.81 | 243603.64 | 271599.21 | 389289.37 | 345989.87 | 446453.14 | 354956.25 | 486720.85 | 529731.56 | 367291.87 | None | 普宁普慈 | 高运 | 高运 | 1142 | 普宁普慈,商业开店日期 | 商业首单日期,商业开店日期:2016-12-26..2026-05-18 | 商业首单日期:2016-12-30..2026-05-19,unknown_pending_business_confirmation,供应商ID | 主店铺ID,0,False,Workbook sheet profiled locally; no source rows copied to output.
非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,xlsx,202791,2026-05-25T13:24:31,非药商务绩效+热销价+商家进度统计_DATE_sub_高运,READABLE,新开商业情况,102,44,供应商ID | 商业开店日期 | 商业首单日期 | 供应商省份 | 状态 | 商业保证金 | 保证金余额 | business_scope | 主营业务关键词 | type_scope | busi_scope | 分类经营范围 | 商品经营范围 | 冻结状态 | 实时在架sku数 | 主店铺ID | 月份 | GMV | 之前月份的峰值 | 增量gmv | 在架天数5天以上sku数 | 日期_dt | 参考月份_dt | 月份_dt | 月份差 | 商务对接人 | 简称 | 供应商证件全称 | 运营名称 | 一线品牌品类gmv | 动销店数 | 分店GMV | 新开有效 | 非重点品gmv | 之前月份的非重点品峰值 | 之前月份的重点品峰值 | 非重点品增量gmv | 重点品增量gmv | 保证金水平 | 有效计件 | 商业类型 | 开店月份 | 首单月份 | 增量分享标记,"22679 | 20250829 | 20250917.0 | 江西省 | 有效 | 100000 | 100000 | 6,7,8,12,21 | 外用,生活用品,化妆品,计生用品,消毒用品 | None | 10,11,12,9 | None | 日用品,医疗器械（一类）,消毒产品,化妆品 | 0 | 35 | 22679 | 2026-05 | 22401.9 | 36585.54 | 0 | 35 | 2025-09-17 00:00:00 | 2025-10-17 00:00:00 | 2026-05-01 00:00:00 | 7 | 高运 | 江西古戈尔商贸 | 江西古戈尔商贸有限公司 | None | None | 272 | 22401.9 | 无效 | None | 0 | 0 | 0 | 0 | 100000 | 0 | 普通店 | 2025-08 | 2025-09 | 0 || 22862 | 20250918 | 20251017.0 | 四川省 | 有效 | 100000 | 99936.6 | 0,2,6,8,21,28 | 医疗器械,生活用品,计生用品,食品,消毒用品,保健品 | None | 19,16,12,11,10,9,8,6 | None | 日用品,医疗器械（一类）,食品,医疗器械（二类）,医疗器械（二类免备案）,... | 0 | 118 | 22862 | 2026-05 | 90271.63 | 476864.78 | 0 | 118 | 2025-10-17 00:00:00 | 2025-11-17 00:00:00 | 2026-05-01 00:00:00 | 6 | 高运 | 四川众恩德科技 | 四川众恩德科技有限公司 | None | 78043.93 | 794 | 90271.63 | 无效 | 12227.70000000001 | 40898.06 | 443561.94 | 0 | 0 | 100000 | 0 | 普通店 | 2025-09 | 2025-10 | 0 || 22917 | 20250925 | 20250926.0 | 四川省 | 有效 | 100000 | 98898.52 | 0,2,3,6,7,8 | 医疗器械,生活用品,化妆品,计生用品,营养品,保健品 | None | 19,16,12,11,10,9,8,6 | None | 日用品,医疗器械（一类）,食品,医疗器械（二类）,医疗器械（二类免备案）,... | 0 | 940 | 22917 | 2026-05 | 293830.81 | 558654.71 | 0 | 962 | 2025-09-26 00:00:00 | 2025-10-26 00:00:00 | 2026-05-01 00:00:00 | 7 | 高运 | 成都天蕊贸易 | 成都天蕊贸易有限公司 | None | 246644.21 | 1488 | 209784.72 | 无效 | 47186.60000000001 | 73409.32999999996 | 485245.38 | 0 | 0 | 100000 | 0 | 普通店 | 2025-09 | 2025-09 | 0",商业开店日期 | 商业首单日期 | 月份 | 日期_dt | 参考月份_dt | 月份_dt | 开店月份 | 首单月份,商业开店日期:2025-08-29..2026-05-21 | 商业首单日期:2025-09-17..2026-05-19 | 月份:2025-01-01..2026-05-01 | 日期_dt:2025-09-17..2026-05-19 | 参考月份_dt:2025-10-17..2026-06-19 | 月份_dt:2025-01-01..2026-05-01 | 开店月份:2025-08-01..2026-05-01 | 首单月份:2025-09-01..2026-05-01,unknown_pending_business_confirmation,供应商ID | 主店铺ID,0,False,Workbook sheet profiled locally; no source rows copied to output.
非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,xlsx,202791,2026-05-25T13:24:31,非药商务绩效+热销价+商家进度统计_DATE_sub_高运,READABLE,新开商业补充保证金情况,1,9,供应商ID | 月份 | 简称 | 状态 | 商务对接人 | 最新保证金水平 | 过去保证金水平 | 过去有效计件 | 补充新开系数,24732 | 2026-04 | 四川康福达医疗科技 | 有效 | 高运 | 20000 | 10000 | 0 | 0,月份,月份:2026-04-01..2026-04-01,unknown_pending_business_confirmation,供应商ID,0,False,Workbook sheet profiled locally; no source rows copied to output.
非药商务绩效+热销价+商家进度统计_2026-05-28_sub_高运.xlsx,绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-28_sub_高运.xlsx,xlsx,197434,2026-05-28T09:41:41,非药商务绩效+热销价+商家进度统计_DATE_sub_高运,READABLE,总体目标,5,21,月份 | 商务对接人 | 非重点品增量gmv | 重点品增量gmv | 新开6个月内5万商家数 | 开店商业数 | 首单商业数 | 品牌店开店商业数 | 有效新开数 | 当月订单数 | 当月商家原因售后订单数 | 上月订单数 | 上月商家原因售后订单数 | 当月商家原因售后订单率 | 上月商家原因售后订单率 | 当月商家原因售后订单率环比 | 售后备注 | 补充新开系数 | 新开系数 | 对应每家计件奖金 | 破峰提成系数,2026-04 | 高运 | 47499.22000000004 | 590020.43 | 5 | 4 | 5 | 1 | 0.4 | 66568 | 1203 | 76348 | 1440 | <PHONE_MASKED> | <PHONE_MASKED> | <PHONE_MASKED> | 无事发生 | 0 | 0.4 | 0 | 0 || 2026-03 | 高运 | 17360.19 | 212652.33 | 5 | 7 | 4 | None | 0.6000000000000001 | 76348 | 1440 | 61139 | 1279 | <PHONE_MASKED> | <PHONE_MASKED> | -0.09840267639150191 | 无事发生 | 0 | 0.6 | 0 | 0 || 2026-02 | 高运 | 11516.68999999996 | 49572.48 | 4 | None | 1 | None | 1.2 | 62084 | 1287 | 85371 | 1637 | 0.02072997873848334 | <PHONE_MASKED> | <PHONE_MASKED> | 绩效扣除10% | 0 | 1.2 | 0 | 0,月份,月份:2026-01-01..2026-05-01,unknown_pending_business_confirmation,,0,False,Workbook sheet profiled locally; no source rows copied to output.
