file,sheet,field,dtype,non_null_rate,unique_count,sample_values_masked,possible_entity,possible_metric,notes
绩效与商家销售额汇总\01_绩效\绩效额外附加表格.xlsx,绩效指标参考,绩效计算表,text_or_mixed,0.8125,10,有效新开数 | Y ≥5 | Y =4,,,date_range=..
绩效与商家销售额汇总\01_绩效\绩效额外附加表格.xlsx,绩效指标参考,<blank_2>,text_or_mixed,0.6250,8,对应每家计件奖金（元） | 400 | 300,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,月份,date_candidate,1.0000,5,2026-03 | 2026-04 | 2026-02,,,date_range=2026-01-01..2026-05-01
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,商务对接人,text_or_mixed,1.0000,1,高运 | 高运 | 高运,operator,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,非重点品增量gmv,text_or_mixed,1.0000,5,1823.440000000002 | 40631.21000000004 | 997.2699999999531,,GMV,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,重点品增量gmv,text_or_mixed,1.0000,5,212652.33 | 590020.43 | 49572.48,,GMV,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,开店商业数,text_or_mixed,0.8000,4,7 | 4 | 3,merchant_supplier,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,首单商业数,text_or_mixed,1.0000,3,4 | 5 | 1,merchant_supplier,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,有效新开数,text_or_mixed,1.0000,5,0.6000000000000001 | 0.4 | 1.2,,,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,当月订单数,text_or_mixed,1.0000,5,76348 | 66568 | 62084,,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,当月商家原因售后订单数,text_or_mixed,1.0000,5,1434 | 1196 | 1285,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,上月订单数,text_or_mixed,1.0000,5,61139 | 76348 | 85371,,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,上月商家原因售后订单数,text_or_mixed,1.0000,5,1277 | 1434 | 1635,merchant_supplier,订单,date_range=..
绩效与商家销售额汇总\01_绩效\非药商务绩效+热销价+商家进度统计_2026-05-25_sub_高运.xlsx,总体目标,当月商家原因售后订单率,text_or_mixed,1.0000,5,<PHONE_MASKED> | <PHONE_MASKED> | 0.02069776431930932,merchant_supplier,订单,date_range=..
